MANC DN name,side,FAFB DN name,source
DNnt019,RHS,DNge002,BANC v514
DNnt020,LHS,DNge125,BANC v514
DNnt020,RHS,DNge125,BANC v514
DNnt021,RHS,DNp16,BANC v514
DNut001,LHS,DNa04,Stuerner et al.
DNut001,RHS,DNa04,Stuerner et al.
DNut002,LHS,DNa05,Stuerner et al.
DNut002,RHS,DNa05,Stuerner et al.
DNut003,LHS,DNa07,Stuerner et al.
DNut003,RHS,DNa07,Stuerner et al.
DNut004,LHS,DNb02,Stuerner et al.
DNut004,RHS,DNb02,Stuerner et al.
DNut005,LHS,DNb03,Stuerner et al.
DNut005,RHS,DNb03,Stuerner et al.
DNut006,LHS,DNg01,Stuerner et al.
DNut006,RHS,DNg01,Stuerner et al.
DNut007,LHS,DNg02,Stuerner et al.
DNut007,RHS,DNg02,Stuerner et al.
DNut008,LHS,DNg02,Stuerner et al.
DNut008,RHS,DNg02,Stuerner et al.
DNut009,LHS,DNg02,Stuerner et al.
DNut009,RHS,DNg02,Stuerner et al.
DNut010,LHS,DNg02,Stuerner et al.
DNut010,RHS,DNg02,Stuerner et al.
DNut011,LHS,DNg03,Stuerner et al.
DNut011,RHS,DNg03,Stuerner et al.
DNut012,LHS,DNg04,Stuerner et al.
DNut012,RHS,DNg04,Stuerner et al.
DNut013,LHS,DNg05,Stuerner et al.
DNut013,RHS,DNg05,Stuerner et al.
DNut014,LHS,DNg06,Stuerner et al.
DNut014,RHS,DNg06,Stuerner et al.
DNut015,LHS,DNg08,Stuerner et al.
DNut015,RHS,DNg08,Stuerner et al.
DNut016,LHS,DNg18,Stuerner et al.
DNut016,RHS,DNg18,Stuerner et al.
DNut017,LHS,DNg27,Stuerner et al.
DNut017,RHS,DNg27,Stuerner et al.
DNut018,LHS,DNg32,Stuerner et al.
DNut018,RHS,DNg32,Stuerner et al.
DNut019,LHS,DNg36,Stuerner et al.
DNut019,RHS,DNg36,Stuerner et al.
DNut020,LHS,DNg41,Stuerner et al.
DNut020,RHS,DNg41,Stuerner et al.
DNut021,LHS,DNp03,Stuerner et al.
DNut021,RHS,DNp03,Stuerner et al.
DNut022,LHS,DNp15,Stuerner et al.
DNut022,RHS,DNp15,Stuerner et al.
DNut023,LHS,DNp16,Stuerner et al.
DNut023,RHS,DNp16,Stuerner et al.
DNut024,LHS,DNp16,Stuerner et al.
DNut024,RHS,DNp16,Stuerner et al.
DNut025,LHS,DNp17,Stuerner et al.
DNut025,RHS,DNp17,Stuerner et al.
DNut026,LHS,DNp17,Stuerner et al.
DNut026,RHS,DNp17,Stuerner et al.
DNut027,LHS,DNp22,Stuerner et al.
DNut027,RHS,DNp22,Stuerner et al.
DNut028,LHS,DNp31,Stuerner et al.
DNut028,RHS,DNp31,Stuerner et al.
DNut029,LHS,DNp33,Stuerner et al.
DNut029,RHS,DNp33,Stuerner et al.
DNut030,LHS,DNg82,Stuerner et al.
DNut030,RHS,DNg82,Stuerner et al.
DNut031,LHS,DNg91,Stuerner et al.
DNut031,RHS,DNg91,Stuerner et al.
DNut032,LHS,DNg92,Stuerner et al.
DNut032,RHS,DNg92,Stuerner et al.
DNut033,LHS,DNg110,Stuerner et al.
DNut033,RHS,DNg110,Stuerner et al.
DNut034,LHS,DNge116,BANC v514
DNut034,LHS,DNg07,BANC v514
DNut034,RHS,DNge116,BANC v514
DNut034,RHS,DNg07,BANC v514
DNut035,LHS,DNx02,Stuerner et al.
DNut035,RHS,DNx02,Stuerner et al.
DNut036,LHS,DNg07,BANC v514
DNut037,LHS,DNae004,BANC v514
DNut037,RHS,DNa05,BANC v514
DNut037,RHS,DNae004,BANC v514
DNut038,LHS,DNa15,Stuerner et al.
DNut038,RHS,DNa15,Stuerner et al.
DNut040,LHS,DNbe001,BANC v514
DNut040,RHS,DNbe001,BANC v514
DNut042,LHS,DNg51,BANC v514
DNut042,LHS,DNpe018,BANC v514
DNut042,LHS,DNp16,BANC v514
DNut042,LHS,DNpe004,BANC v514
DNut042,LHS,DNge114,BANC v514
DNut042,LHS,DNpe054,BANC v514
DNut042,LHS,DNge109,BANC v514
DNut042,RHS,DNg51,BANC v514
DNut042,RHS,DNg36_b,BANC v514
DNut042,RHS,DNp16,BANC v514
DNut042,RHS,DNpe004,BANC v514
DNut042,RHS,DNpe012,BANC v514
DNut042,RHS,DNge114,BANC v514
DNut042,RHS,DNpe054,BANC v514
DNut043,RHS,DNg05_b,BANC v514
DNut045,LHS,DNp16,BANC v514
DNut045,RHS,DNp16,BANC v514
DNut046,LHS,PS225,BANC v514
DNut046,LHS,DNpe054,BANC v514
DNut046,RHS,DNpe018,BANC v514
DNut046,RHS,DNpe054,BANC v514
DNut047,LHS,DNge017,BANC v514
DNut047,LHS,DNg05_b,BANC v514
DNut047,RHS,DNge017,BANC v514
DNut048,RHS,DNge091,BANC v514
DNut050,LHS,DNge175,BANC v514
DNut050,RHS,DNg05_b,BANC v514
DNut051,LHS,DNge030,BANC v514
DNut051,RHS,DNge030,BANC v514
DNut053,LHS,DNg05_b,BANC v514
DNut053,RHS,DNg05_a,BANC v514
DNut054,LHS,DNge091,BANC v514
DNut054,LHS,DNge095,BANC v514
DNut054,LHS,DNge110,BANC v514
DNut054,LHS,DNge118,BANC v514
DNut054,RHS,DNge091,BANC v514
DNut054,RHS,DNge095,BANC v514
DNut054,RHS,DNge110,BANC v514
DNut054,RHS,DNge118,BANC v514
DNut055,LHS,DNa16,Stuerner et al.
DNut055,RHS,DNa16,Stuerner et al.
DNut056,LHS,DNp72,Stuerner et al.
DNut056,RHS,DNp72,Stuerner et al.
DNut058,LHS,DNg06,BANC v514
DNut058,LHS,DNge175,BANC v514
DNut058,RHS,DNge175,BANC v514
DNut058,RHS,DNge016,BANC v514
DNut060,LHS,DNae002,BANC v514
DNut060,RHS,DNae002,BANC v514
DNut062,LHS,DNge045,BANC v514
DNut062,LHS,DNg32,BANC v514
DNwt001,LHS,DNa08,Stuerner et al.
DNwt001,RHS,DNa08,Stuerner et al.
DNxl001,LHS,DNa01,Stuerner et al.
DNxl001,RHS,DNa01,Stuerner et al.
DNxl002,LHS,DNa02,Stuerner et al.
DNxl002,RHS,DNa02,Stuerner et al.
DNxl003,LHS,DNb06,Stuerner et al.
DNxl003,RHS,DNb06,Stuerner et al.
DNxl004,LHS,DNd02,Stuerner et al.
DNxl004,RHS,DNd02,Stuerner et al.
DNxl005,LHS,DNg13,Stuerner et al.
DNxl005,RHS,DNg13,Stuerner et al.
DNxl006,LHS,DNg16,Stuerner et al.
DNxl006,RHS,DNg16,Stuerner et al.
DNxl007,LHS,DNg19,Stuerner et al.
DNxl007,RHS,DNg19,Stuerner et al.
DNxl008,LHS,DNg21,Stuerner et al.
DNxl008,RHS,DNg21,Stuerner et al.
DNxl009,LHS,DNg31,Stuerner et al.
DNxl009,RHS,DNg31,Stuerner et al.
DNxl010,LHS,DNg34,Stuerner et al.
DNxl010,RHS,DNg34,Stuerner et al.
DNxl011,LHS,DNg35,Stuerner et al.
DNxl011,RHS,DNg35,Stuerner et al.
DNxl012,LHS,DNg37,Stuerner et al.
DNxl012,RHS,DNg37,Stuerner et al.
DNxl013,LHS,DNg38,Stuerner et al.
DNxl013,RHS,DNg38,Stuerner et al.
DNxl014,LHS,DNge037,BANC v514
DNxl014,RHS,DNge037,BANC v514
DNxl015,LHS,DNa11,Stuerner et al.
DNxl015,RHS,DNa11,Stuerner et al.
DNxl016,LHS,DNg39,Stuerner et al.
DNxl016,RHS,DNg39,Stuerner et al.
DNxl017,LHS,DNp09,Stuerner et al.
DNxl017,RHS,DNp09,Stuerner et al.
DNxl018,LHS,DNp10,Stuerner et al.
DNxl018,RHS,DNp10,Stuerner et al.
DNxl019,LHS,DNp32,Stuerner et al.
DNxl019,RHS,DNp32,Stuerner et al.
DNxl020,LHS,DNp34,Stuerner et al.
DNxl020,RHS,DNp34,Stuerner et al.
DNxl021,LHS,DNge124,BANC v514
DNxl021,RHS,DNge124,BANC v514
DNxl022,LHS,DNae001,BANC v514
DNxl022,RHS,DNae001,BANC v514
DNxl023,LHS,DNa13,Stuerner et al.
DNxl023,RHS,DNa13,Stuerner et al.
DNxl024,LHS,DNa13,Stuerner et al.
DNxl024,RHS,DNa13,Stuerner et al.
DNxl025,LHS,DNa14,Stuerner et al.
DNxl025,RHS,DNa14,Stuerner et al.
DNxl026,LHS,DNd05,Stuerner et al.
DNxl026,RHS,DNd05,Stuerner et al.
DNxl027,LHS,DNb08,Stuerner et al.
DNxl027,RHS,DNb08,Stuerner et al.
DNxl028,LHS,DNg43,Stuerner et al.
DNxl028,RHS,DNg43,Stuerner et al.
DNxl029,LHS,DNg44,Stuerner et al.
DNxl029,RHS,DNg44,Stuerner et al.
DNxl030,LHS,DNg45,Stuerner et al.
DNxl030,RHS,DNg45,Stuerner et al.
DNxl031,LHS,DNg52,Stuerner et al.
DNxl031,RHS,DNg52,Stuerner et al.
DNxl032,LHS,DNg54,Stuerner et al.
DNxl032,RHS,DNg54,Stuerner et al.
DNxl033,LHS,DNg63,Stuerner et al.
DNxl033,RHS,DNg63,Stuerner et al.
DNxl034,LHS,DNg64,Stuerner et al.
DNxl034,RHS,DNg64,Stuerner et al.
DNxl035,LHS,DNg65,Stuerner et al.
DNxl035,RHS,DNg65,Stuerner et al.
DNxl036,LHS,DNg67,Stuerner et al.
DNxl036,RHS,DNg67,Stuerner et al.
DNxl037,LHS,DNg69,Stuerner et al.
DNxl037,RHS,DNg69,Stuerner et al.
DNxl038,LHS,DNg70,Stuerner et al.
DNxl038,RHS,DNg70,Stuerner et al.
DNxl039,LHS,DNg72,Stuerner et al.
DNxl039,RHS,DNg72,Stuerner et al.
DNxl040,LHS,DNg74,Stuerner et al.
DNxl040,RHS,DNg74,Stuerner et al.
DNxl041,LHS,DNg74,Stuerner et al.
DNxl041,RHS,DNg74,Stuerner et al.
DNxl042,LHS,DNg75,Stuerner et al.
DNxl042,RHS,DNg75,Stuerner et al.
DNxl043,LHS,DNg87,Stuerner et al.
DNxl043,RHS,DNg87,Stuerner et al.
DNxl044,LHS,DNg88,Stuerner et al.
DNxl044,RHS,DNg88,Stuerner et al.
DNxl045,LHS,DNg90,Stuerner et al.
DNxl045,RHS,DNg90,Stuerner et al.
DNxl046,LHS,DNg93,Stuerner et al.
DNxl046,RHS,DNg93,Stuerner et al.
DNxl047,LHS,DNg107,Stuerner et al.
DNxl047,RHS,DNg107,Stuerner et al.
DNxl048,LHS,DNg108,Stuerner et al.
DNxl048,RHS,DNg108,Stuerner et al.
DNxl049,LHS,DNge073,BANC v514
DNxl049,LHS,DNge050,BANC v514
DNxl049,RHS,DNge073,BANC v514
DNxl049,RHS,DNge050,BANC v514
DNxl050,LHS,DNp39,Stuerner et al.
DNxl050,RHS,DNp39,Stuerner et al.
DNxl051,LHS,DNp43,Stuerner et al.
DNxl051,RHS,DNp43,Stuerner et al.
DNxl052,LHS,DNp67,Stuerner et al.
DNxl052,RHS,DNp67,Stuerner et al.
DNxl054,LHS,DNg97,Stuerner et al.
DNxl054,RHS,DNg97,Stuerner et al.
DNxl055,LHS,DNg105,Stuerner et al.
DNxl055,RHS,DNg105,Stuerner et al.
DNxl056,LHS,DNae008,BANC v514
DNxl056,RHS,DNae008,BANC v514
DNxl056,RHS,DNae010,BANC v514
DNxl057,LHS,DNg109,Stuerner et al.
DNxl057,RHS,DNg109,Stuerner et al.
DNxl058,LHS,DNg100,Stuerner et al.
DNxl058,RHS,DNg100,Stuerner et al.
DNxl059,LHS,DNg95,Stuerner et al.
DNxl059,RHS,DNg95,Stuerner et al.
DNxl060,LHS,DNg103,Stuerner et al.
DNxl060,RHS,DNg103,Stuerner et al.
DNxl061,LHS,DNd04,Stuerner et al.
DNxl061,RHS,DNd04,Stuerner et al.
DNxl062,LHS,DNp71,Stuerner et al.
DNxl062,RHS,DNp71,Stuerner et al.
DNxl063,LHS,DNpe029,BANC v514
DNxl063,RHS,DNpe029,BANC v514
DNxl064,LHS,DNg96,Stuerner et al.
DNxl064,RHS,DNg96,Stuerner et al.
DNxl066,LHS,DNpe029,BANC v514
DNxl066,RHS,DNpe029,BANC v514
