FAFB DN name,MANC DN name,source
DNg101,DNxl103,BANC v514
DNg102_a,,
DNg102_b,,
DNg103,DNxl060,Stuerner et al.
DNg104,DNxn072,Stuerner et al.
DNg104,DNxl101,BANC v514
DNg105,DNxl055,Stuerner et al.
DNg106,DNlt006,Stuerner et al.
DNg107,DNxl047,Stuerner et al.
DNg107,DNxl091,BANC v514
DNg108,DNxl048,Stuerner et al.
DNg109,DNxl057,Stuerner et al.
DNg11,DNxn014,Stuerner et al.
DNg110_a,,
DNg110_b,,
DNg110_c,,
DNg111,DNxn070,Stuerner et al.
DNg12_a,DNnt008,BANC v514
DNg12_a,DNnt013,BANC v514
DNg12_a,DNfl044,BANC v514
DNg12_b,DNnt008,BANC v514
DNg12_b,DNnt009,BANC v514
DNg12_c,DNnt008,BANC v514
DNg12_c,DNxn139,BANC v514
DNg12_d,DNnt008,BANC v514
DNg12_d,DNnt007,BANC v514
DNg12_e,DNnt013,BANC v514
DNg12_e,DNfl028,BANC v514
DNg12_e,DNfl030,BANC v514
DNg12_e,DNnt008,BANC v514
DNg12_e,DNxn108,BANC v514
DNg12_e,DNxn139,BANC v514
DNg13,DNxl005,Stuerner et al.
DNg14,DNhl001,Stuerner et al.
DNg15,DNxn015,Stuerner et al.
DNg16,DNxl006,Stuerner et al.
DNg17,DNxn016,Stuerner et al.
DNg18_a,DNit005,BANC v514
DNg18_b,DNxn106,BANC v514
DNg19,DNxl007,Stuerner et al.
DNg19,DNxl095,BANC v514
DNg20,DNxn017,Stuerner et al.
DNg21,DNxl008,Stuerner et al.
DNg22,DNxn024,Stuerner et al.
DNg23,DNxn018,Stuerner et al.
DNg24,DNxn019,Stuerner et al.
DNg26,DNxn020,Stuerner et al.
DNg26,DNxn021,Stuerner et al.
DNg27,DNut017,Stuerner et al.
DNg28,,
DNg29,DNxn022,Stuerner et al.
DNg31,DNxl009,Stuerner et al.
DNg32,DNut018,Stuerner et al.
DNg32,DNut062,BANC v514
DNg33,DNxn025,Stuerner et al.
DNg34,DNxl010,Stuerner et al.
DNg35,DNxl011,Stuerner et al.
DNg36_a,DNxn109,BANC v514
DNg36_b,DNut042,BANC v514
DNg37,DNxl012,Stuerner et al.
