MANC DN name,FAFB DN name,source
DNut020,DNg41,Stuerner et al.
DNut021,DNp03,Stuerner et al.
DNut022,DNp15,Stuerner et al.
DNut023,DNp16,Stuerner et al.
DNut024,DNp16,Stuerner et al.
DNut025,DNp17,Stuerner et al.
DNut026,DNp17,Stuerner et al.
DNut027,DNp22,Stuerner et al.
DNut028,DNp31,Stuerner et al.
DNut029,DNp33,Stuerner et al.
DNut030,DNg82,Stuerner et al.
DNut031,DNg91,Stuerner et al.
DNut032,DNg92,Stuerner et al.
DNut033,DNg110,Stuerner et al.
DNut034,DNg07,BANC v514
DNut034,DNge116,BANC v514
DNut035,DNx02,Stuerner et al.
DNut036,DNg07,BANC v514
DNut037,DNae004,BANC v514
DNut037,DNa05,BANC v514
DNut038,DNa15,Stuerner et al.
DNut039,,
DNut040,DNbe001,BANC v514
DNut041,,
DNut042,DNpe054,BANC v514
DNut042,DNg51,BANC v514
DNut042,DNg36_b,BANC v514
DNut042,DNge109,BANC v514
DNut042,DNge114,BANC v514
DNut042,DNpe004,BANC v514
DNut042,DNp16,BANC v514
DNut042,DNpe018,BANC v514
DNut042,DNpe012,BANC v514
DNut043,DNg05_b,BANC v514
DNut044,,
DNut045,DNp16,BANC v514
DNut046,PS225,BANC v514
DNut046,DNpe054,BANC v514
DNut046,DNpe018,BANC v514
DNut047,DNge017,BANC v514
DNut047,DNg05_b,BANC v514
DNut048,DNge091,BANC v514
DNut049,,
DNut050,DNge175,BANC v514
DNut050,DNg05_b,BANC v514
DNut051,DNge030,BANC v514
DNut052,,
DNut053,DNg05_b,BANC v514
DNut053,DNg05_a,BANC v514
DNut054,DNge095,BANC v514
DNut054,DNge091,BANC v514
DNut054,DNge110,BANC v514
DNut054,DNge118,BANC v514
DNut055,DNa16,Stuerner et al.
DNut056,DNp72,Stuerner et al.
DNut057,,
DNut058,DNge016,BANC v514
DNut058,DNge175,BANC v514
DNut058,DNg06,BANC v514
DNut059,,
DNut060,DNae002,BANC v514
DNut061,,
DNut062,DNge045,BANC v514
DNut062,DNg32,BANC v514
DNwt001,DNa08,Stuerner et al.
DNxl001,DNa01,Stuerner et al.
DNxl002,DNa02,Stuerner et al.
DNxl003,DNb06,Stuerner et al.
DNxl004,DNd02,Stuerner et al.
DNxl005,DNg13,Stuerner et al.
DNxl006,DNg16,Stuerner et al.
DNxl007,DNg19,Stuerner et al.
DNxl008,DNg21,Stuerner et al.
DNxl009,DNg31,Stuerner et al.
DNxl010,DNg34,Stuerner et al.
DNxl011,DNg35,Stuerner et al.
DNxl012,DNg37,Stuerner et al.
DNxl013,DNg38,Stuerner et al.
DNxl014,DNge037,BANC v514
DNxl015,DNa11,Stuerner et al.
DNxl016,DNg39,Stuerner et al.
DNxl017,DNp09,Stuerner et al.
DNxl018,DNp10,Stuerner et al.
DNxl019,DNp32,Stuerner et al.
DNxl020,DNp34,Stuerner et al.
DNxl021,DNge124,BANC v514
DNxl022,DNae001,BANC v514
DNxl023,DNa13,Stuerner et al.
DNxl024,DNa13,Stuerner et al.
DNxl025,DNa14,Stuerner et al.
DNxl026,DNd05,Stuerner et al.
DNxl027,DNb08,Stuerner et al.
DNxl028,DNg43,Stuerner et al.
DNxl029,DNg44,Stuerner et al.
DNxl030,DNg45,Stuerner et al.
DNxl031,DNg52,Stuerner et al.
DNxl032,DNg54,Stuerner et al.
DNxl033,DNg63,Stuerner et al.
DNxl034,DNg64,Stuerner et al.
DNxl035,DNg65,Stuerner et al.
DNxl036,DNg67,Stuerner et al.
DNxl037,DNg69,Stuerner et al.
